scenario_id,scenario,final_gate,pass,adverse_margin_months,estimated_breach_risk,restoration_on_time,n_minus_one_pass,known_holdouts,portfolio_load
BP-QE-001,Qualified entry with decoy and N-1 loss,operate,true,24.0,0.0000562,1.0,true,0,0.2292
BP-HO-002,Preexisting hidden network holdout,hold,false,-5.106,0.95,1.0,false,1,0.7581
BP-N1-003,Ambiguous event under critical-node failure,operate,true,24.0,0.0000562,1.0,true,0,0.4584
BP-SAT-004,Portfolio saturation boundary,hold,false,-38.8355,0.95,1.0,true,0,9.6622
